Grade,Teacher ID,Studio ID,Class Size,"A say block is added after Neha says ""Happy Holi!""",Total
7,B,18601782,28,0.0,0.0
7,B,18596078,31,0.0,0.0
7,J,19444350,14,0.0,0.0
7,D,18428313,30,0.0,0.0
7,A,19849284,9,0.0,0.0
7,I,19454321,17,0.0,0.0
6,H,19416227,27,0.0,0.0
6,D,18404038,29,0.0,0.0
6,F,18631330,11,0.0,0.0
6,F,19425809,3,0.0,0.0
6,F,19398255,17,0.0,0.0
8,D,18266964,29,0.0,0.0
8,I,19442550,23,0.0,0.0
4,E,18444882,16,0.0,0.0
5,H,19404523,27,0.0,0.0
5,E,20147863,20,0.0,0.0
5,C,18409520,23,0.0,0.0
