Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4,5
7,I,19461736,19,0,0,13,1,3,2
7,B,18403415,24,0,0,12,6,6,0
7,A,20140106,16,0,0,4,2,5,5
7,D,18429685,29,0,0,6,4,7,12
7,B,18607854,26,0,0,18,2,5,1
7,J,19445746,20,0,5,7,5,1,2
6,G,19473499,1,0,0,0,0,0,1
6,F,19415654,23,0,0,5,2,15,1
6,D,18411516,29,0,0,4,4,11,10
6,H,19424240,29,0,0,4,1,8,16
6,F,18637934,3,0,0,1,1,0,1
6,F,19440612,5,0,0,0,0,5,0
6,G,19472819,1,0,1,0,0,0,0
8,D,18400379,24,0,0,5,1,9,9
8,I,19449165,20,0,0,10,3,6,1
4,E,18607820,27,0,0,3,4,9,11
5,H,19413475,28,0,0,5,5,8,10
5,E,18613583,29,0,0,3,8,10,8
5,C,18439663,24,0,0,0,1,16,7
